ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
BMH,2025-05-06,1792725,0.238,0.0333,0.0333,0.0333,0.0333,0.0333,0,0.043,0.065,0.085,0.032,6605.93,2850.14,737.74
BMH,2025-05-07,1792725,0.238,0.0333,0.0333,0.0333,0.0333,0.0333,0,0.043,0.065,0.085,0.032,6605.93,2850.14,737.74
BMH,2025-05-08,1792725,0.238,0.0333,0.0333,0.0333,0.0333,0.0333,0,0.042,0.065,0.085,0.032,6605.93,2850.14,737.74
BMH,2025-05-09,1792725,0.238,0.0333,0.0333,0.0333,0.0333,0.0333,0,0.042,0.064,0.085,0.032,6605.93,2850.14,737.74
BOL,2025-05-05,59225748,0.558,1.51,1.51,1.455,1.455,1.455,144916,1.461,1.412,1.61,1.2,78223.7,77531.3,43943.4
BOL,2025-05-06,59225748,0.558,1.51,1.59,1.51,1.5575,1.5575,13272,1.464,1.414,1.61,1.2,79023.1,76453.6,43811.7
BOL,2025-05-07,59225748,0.558,1.525,1.565,1.525,1.54,1.54,2384,1.467,1.415,1.61,1.2,78597.9,70697.2,43807.3
BOL,2025-05-08,59225748,0.558,1.595,1.595,1.48,1.48,1.48,5592,1.468,1.416,1.61,1.2,78904.7,68002.3,43774.6
BOL,2025-05-09,59225748,0.558,1.49,1.49,1.47,1.49,1.49,3172,1.469,1.417,1.61,1.2,73492.4,67131.8,43701.5
BPP,2025-05-05,18227050,1.88,0.0066,0.0066,0.0055,0.0055,0.005,910000,0.005,0.005,0.007,0.005,1176870.0,626085.0,1220610.0
BPP,2025-05-06,18227050,1.88,0.0055,0.0055,0.0055,0.0055,0.005,0,0.005,0.005,0.007,0.005,1176300.0,626085.0,1220610.0
BPP,2025-05-07,18227050,1.88,0.005,0.005,0.005,0.005,0.0046,0,0.005,0.005,0.007,0.005,1047730.0,626085.0,1202700.0
BPP,2025-05-08,18227050,1.88,0.005,0.005,0.005,0.005,0.0046,0,0.005,0.005,0.007,0.005,1047730.0,621084.0,1192380.0
BPP,2025-05-09,18227050,1.88,0.006,0.006,0.005,0.005,0.0046,1128795,0.005,0.005,0.007,0.005,1085500.0,643660.0,1198030.0
CPV,2025-05-05,42912000,0.928,0.195,0.195,0.18,0.18,0.18,290911,0.201,0.281,0.6,0.18,247162.0,240580.0,290751.0
