document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2025031202924024,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,2025-03-12,72503858.0,8.31,,DRO,change,62987745.0,7.22,,
2025031302924148,VANGUARD GROUP,2025-03-13,28251449.0,6.179,,NWH,change,23256528.0,5.177,,
2025031802925952,HANWHA,2025-03-18,,,,ASB,new,,,,
2025031802926257,MATTHEW JINKS MASSY PTY LTD JIREB PTY LTD KRISTIE JINKS MATTHEW JINKS LISA JINKS BUNDARAH PTY LTD VOLANTOR SUPERANNUATION FUND PTY LTD PETER JINKS,2025-03-18,22029924.0,19.48,,SKS,change,21029924.0,18.77,,
2025031902926768,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,2025-03-19,27043837.0,6.5022,27043837.0,ASB,new,,,,
2025032002927194,STATE STREET CORPORATION,2025-03-20,21273225.0,5.11,21273225.0,ASB,new,,,,
2025032102927601,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,2025-03-21,46036967.0,17.359,,GWA,change,43151751.0,16.271,,
2025032502928628,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,2025-03-25,-105571.0,,,JLG,new,,,,
2025032502928626,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,2025-03-25,37068546.0,6.1376,37068546.0,SRG,new,,,,
2025032602928911,EOS LOAN PLAN PTY LTD,2025-03-26,10990403.0,5.7,,EOS,change,11979343.0,7.95,,
2025032702929350,AHRENS GROUP PTY LTD,2025-03-27,8833000.0,7.25,,SND,change,6333000.0,5.34,,
2025032802930010,NAOS SUBSTANTIAL HOLDERS,2025-03-28,18940303.0,15.55,,SND,change,21754336.0,18.56,,
2025032802929955,AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST,2025-03-28,22995770.0,5.03,22995770.0,NWH,new,,,,
2025040202931820,AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST,2025-04-02,32124918.0,5.215,32124918.0,SSM,new,,,,
2025040302932493,ALLAN GRAY AUSTRALIA,2025-04-03,34449494.0,5.59,,SSM,change,42071496.0,6.83,,
2025040402932728,HORSLEY PARK HOLDINGS PTY LTD AND BRICKWORKS LIMITED,2025-04-04,731676967.0,12.99,,FBR,change,731676967.0,15.27,,
2025040402932627,M&G PLC AND ITS SUBSIDIARY COMPANIES,2025-04-04,675518427.0,11.99,,FBR,change,655518427.0,13.02,,
2025040402932884,MARK JOSEPH PIVAC,2025-04-04,333205167.0,5.91,,FBR,change,333205167.0,6.95,,
2025040702933752,VERITAS SERVICES GROUP LIMITED,2025-04-07,5090254.0,646.0,,VNT,change,646983.0,544.0,,
2025040702933654,ELPHINSTONE GROUP,2025-04-07,216554707.0,68.53,,EGN,change,216554707.0,68.64,,
2025040802934295,JARDEN AUSTRALIA PTY LIMITED,2025-04-08,,,,ASB,new,,,,
2025040802934253,REGAL FUNDS MANAGEMENT PTY LIMITED,2025-04-08,81913263.0,9.38,,DRO,change,72503588.0,8.31,,
2025041002935073,FOS CAPITAL LIMITED,2025-04-10,705.0,7.05,35000000.0,FOS,new,,,,
2025041602937378,THORNEY OPPORTUNITIES LTD,2025-04-16,31746189.0,5.15,,SSM,change,38285000.0,6.22,,
2025041602937379,TIGA TRADING PTY LTD,2025-04-16,31746819.0,5.15,,SSM,change,38285000.0,6.22,,
2025041702937746,H&G HIGH CONVICTION LIMITED,2025-04-17,63688260.0,11.7,63688260.0,HNG,new,,,,
2025041702937886,STATE STREET CORPORATION AND SUBSIDIARIES,2025-04-17,15749282.0,5.561,15749282.0,JLG,new,,,,
2025041702937442,VANGUARD GROUP,2025-04-17,31124407.0,5.053,31124407.0,SSM,new,,,,
2025041702937441,VANGUARD GROUP,2025-04-17,30288197.0,5.015,30288197.0,SRG,new,,,,
2025042202937990,MUTUAL STREET PTY LTD,2025-04-22,12707614.0,8.78,12707614.0,BMH,new,,,,
2025042202937983,BLACKROCK GROUP,2025-04-22,4961169.0,5.01,4961169.0,MND,new,,,,
2025042302938803,NAOS SUBSTANTIAL HOLDERS,2025-04-23,12063061.0,21.76,,MXI,change,10977724.0,19.9,,
2025042402939353,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2025-04-24,14949425.0,5.28,14949425.0,JLG,new,,,,
2025042402939291,NORTHCAPE CAPITAL PTY LTD,2025-04-24,42183233.0,5.0,42183233.0,VNT,new,,,,
2025042802939415,JPMORGAN CHASE & CO. AND ITS AFFILIATES,2025-04-28,46373343.0,5.31,46373343.0,DRO,new,,,,
2025042902940590,AD & MP BEARD ATF AD & MP BEARD SUPERANNUATION FUND,2025-04-29,37272332.0,6.85,,HNG,change,32172332.0,8.64,,
2025043002941832,RICHMOND HILL CAPITAL PTY LTD,2025-04-30,23442214.0,19.65,,CYG,change,21998075.0,18.44,,
2025043002941090,JAMES FAMILY INVESTMENTS LTD,2025-04-30,68000777.0,12.5,,HNG,change,68000777.0,14.26,,
2025043002941463,STATE STREET CORPORATION,2025-04-30,15389208.0,5.44,15389208.0,JLG,new,,,,
2025050202942713,STATE STREET CORPORATION,2025-05-02,45871215.0,5.25,45871215.0,DRO,new,,,,
2025050202942617,PERENNIAL VALUE MANAGEMENT LIMITED,2025-05-02,66751231.0,1227.0,,HNG,change,469867807.0,1034.0,,
2025050202942763,GIOK LAK SIM,2025-05-02,108178162.0,50.42,,ZGL,change,107781137.0,49.64,,
2025050502943373,SPHERIA ASSET MANAGEMENT PTY LTD,2025-05-05,18094570.0,6.82,,GWA,change,20868321.0,7.87,,
