,Ticker,Company,Sector
408,CD1,CD PRIVATE EQUITY FUND I,Not Applic
409,CD2,CD PRIVATE EQUITY FUND II,Not Applic
410,CD3,CD PRIVATE EQUITY FUND III,Not Applic
411,CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development
412,CLA,CELSIUS RESOURCES LIMITED.,Materials
413,CTM,CENTAURUS METALS LIMITED,Materials
414,CTP,CENTRAL PETROLEUM LIMITED,Energy
415,CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services
416,CXM,CENTREX LIMITED,Materials
417,CNI,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs)
418,C2F,CENTURIA FUNDS MANAGEMENT LIMITED,Not Applic
419,CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs)
420,COF,CENTURIA OFFICE REIT,Equity Real Estate Investment Trusts (REITs)
421,CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail
422,CGR,CGN RESOURCES LIMITED,Materials
423,CHN,CHALICE MINING LIMITED,Materials
424,CEL,CHALLENGER GOLD LIMITED,Materials
425,CGF,CHALLENGER LIMITED,Financial Services
426,CIA,CHAMPION IRON LIMITED,Materials
427,CCA,CHANGE FINANCIAL LIMITED,Financial Services
428,CHR,CHARGER METALS NL,Materials
429,CC9,CHARIOT CORPORATION LTD,Materials
430,CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs)
431,CLW,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs)
432,CQR,CHARTER HALL RETAIL REIT,Equity Real Estate Investment Trusts (REITs)
433,CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs)
434,CMX,CHEMX MATERIALS LIMITED,Materials
435,CHW,CHILWA MINERALS LTD,Materials
436,CHM,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
437,CNU,CHORUS LIMITED,Telecommunication Services
438,C79,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services
439,CTO,CITIGOLD CORPORATION LIMITED,Materials
440,CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail
441,CVL,CIVMEC LIMITED,Capital Goods
442,CL8,CL8 HOLDINGS LIMITED,Transportation
443,C7A,CLARA RESOURCES AUSTRALIA LTD,Materials
444,CU6,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
445,CLZ,CLASSIC MINERALS LTD,Materials
446,CSS,CLEAN SEAS SEAFOOD LIMITED,"Food, Beverage & Tobacco"
